,Unnamed: 0,CellID,Latitude,Longitude,RSLatitude,RSLongitude,RSDistance,RSCellID,ValidSnap,neighbors,ValidNeighbors
45,45,832629fffffffff,42.604083,-92.318004,42.614024,-92.317817,1105,832629fffffffff,True,"['83262dfffffffff', '832628fffffffff', '83262bfffffffff', '832676fffffffff', '832674fffffffff', '83275afffffffff']","['83262dfffffffff', '832628fffffffff', '83262bfffffffff', '832676fffffffff', '832674fffffffff', '83275afffffffff']"
46,46,83262afffffffff,43.042983,-94.861453,43.042993,-94.836434,2033,83262afffffffff,True,"['83262efffffffff', '832605fffffffff', '832601fffffffff', '83260cfffffffff', '83262bfffffffff', '832628fffffffff']","['83262efffffffff', '832605fffffffff', '832601fffffffff', '83260cfffffffff', '83262bfffffffff', '832628fffffffff']"
47,47,83262bfffffffff,42.321815,-93.731121,42.321818,-93.727767,276,83262bfffffffff,True,"['832628fffffffff', '83262afffffffff', '83260cfffffffff', '83260dfffffffff', '832676fffffffff', '832629fffffffff']","['832628fffffffff', '83262afffffffff', '83260cfffffffff', '83260dfffffffff', '832676fffffffff', '832629fffffffff']"
48,48,83262cfffffffff,44.376535,-93.132491,44.406273,-93.130637,3310,83262cfffffffff,True,"['832752fffffffff', '832621fffffffff', '83262efffffffff', '832628fffffffff', '83262dfffffffff', '832753fffffffff']","['832752fffffffff', '832621fffffffff', '83262efffffffff', '832628fffffffff', '83262dfffffffff', '832753fffffffff']"
49,49,83262dfffffffff,43.627552,-91.989853,43.626542,-92.019778,2411,83262dfffffffff,True,"['832753fffffffff', '83262cfffffffff', '832628fffffffff', '832629fffffffff', '83275afffffffff', '83275efffffffff']","['832753fffffffff', '83262cfffffffff', '832628fffffffff', '832629fffffffff', '83275afffffffff', '83275efffffffff']"
50,50,83262efffffffff,44.073666,-94.591813,44.074356,-94.639429,3805,83262efffffffff,True,"['832621fffffffff', '832623fffffffff', '832605fffffffff', '83262afffffffff', '832628fffffffff', '83262cfffffffff']","['832621fffffffff', '832623fffffffff', '832605fffffffff', '83262afffffffff', '832628fffffffff', '83262cfffffffff']"
51,51,832630fffffffff,45.828051,-99.695913,45.82516,-99.645666,3907,832630fffffffff,True,"['832634fffffffff', '832636fffffffff', '832632fffffffff', '832633fffffffff', '832631fffffffff', '832635fffffffff']","['832634fffffffff', '832636fffffffff', '832632fffffffff', '832633fffffffff', '832631fffffffff', '832635fffffffff']"
52,52,832631fffffffff,45.14915,-98.439912,45.157398,-98.439694,917,832631fffffffff,True,"['832635fffffffff', '832630fffffffff', '832633fffffffff', '832606fffffffff', '832604fffffffff', '832622fffffffff']","['832635fffffffff', '832630fffffffff', '832633fffffffff', '832606fffffffff', '832604fffffffff', '832622fffffffff']"
53,53,832632fffffffff,45.438477,-101.108315,45.430136,-101.108937,929,832632fffffffff,True,"['832636fffffffff', '83278dfffffffff', '832789fffffffff', '832614fffffffff', '832633fffffffff', '832630fffffffff']","['832636fffffffff', '83278dfffffffff', '832789fffffffff', '832614fffffffff', '832633fffffffff', '832630fffffffff']"
54,54,832633fffffffff,44.778936,-99.850365,44.778256,-100.080818,18190,832633fffffffff,True,"['832630fffffffff', '832632fffffffff', '832614fffffffff', '832615fffffffff', '832606fffffffff', '832631fffffffff']","['832630fffffffff', '832632fffffffff', '832614fffffffff', '832615fffffffff', '832606fffffffff', '832631fffffffff']"
55,55,832634fffffffff,46.889278,-99.533605,46.879438,-99.533026,1095,832634fffffffff,True,"['83271afffffffff', '8327a9fffffffff', '832636fffffffff', '832630fffffffff', '832635fffffffff', '83271bfffffffff']","['83271afffffffff', '8327a9fffffffff', '832636fffffffff', '832630fffffffff', '832635fffffffff', '83271bfffffffff']"
56,56,832635fffffffff,46.20397,-98.24821,46.203845,-98.090358,12148,832635fffffffff,True,"['83271bfffffffff', '832634fffffffff', '832630fffffffff', '832631fffffffff', '832622fffffffff', '832626fffffffff']","['83271bfffffffff', '832634fffffffff', '832630fffffffff', '832631fffffffff', '832622fffffffff', '832626fffffffff']"
