,Unnamed: 0,CellID,Latitude,Longitude,RSLatitude,RSLongitude,RSDistance,RSCellID,ValidSnap,neighbors,ValidNeighbors
0,0,8512c86ffffffff,49.038379,-113.610852,49.01881,-113.67274,5009,8512c86ffffffff,True,"['8512c863fffffff', '8512c86bfffffff', '8512cbd3fffffff', '8512cbd7fffffff', '8512cb9bfffffff', '8512c867fffffff']","['8512cbd3fffffff', '8512cbd7fffffff', '8512cb9bfffffff']"
1,1,8512c903fffffff,49.066718,-112.048207,49.074821,-112.022018,2110,8512c903fffffff,True,"['8512c913fffffff', '8512c91bfffffff', '8512c90bfffffff', '8512c90ffffffff', '8512c907fffffff', '8512c917fffffff']","['8512c90bfffffff', '8512c90ffffffff', '8512c907fffffff']"
2,2,8512c907fffffff,48.993654,-111.840779,48.959666,-111.939271,8121,8512c90ffffffff,False,"['8512c917fffffff', '8512c903fffffff', '8512c90ffffffff', '8512c93bfffffff', '8512c933fffffff', '8512c9abfffffff']","['8512c903fffffff', '8512c90ffffffff', '8512c93bfffffff', '8512c933fffffff', '8512c9abfffffff']"
3,3,8512c90bfffffff,48.989326,-112.23315,49.055491,-112.009982,17859,8512c903fffffff,False,"['8512c91bfffffff', '8512c957fffffff', '8512c947fffffff', '8512c973fffffff', '8512c90ffffffff', '8512c903fffffff']","['8512c957fffffff', '8512c947fffffff', '8512c973fffffff', '8512c90ffffffff', '8512c903fffffff']"
4,4,8512c90ffffffff,48.916642,-112.026053,48.94268,-111.933559,7351,8512c90ffffffff,True,"['8512c903fffffff', '8512c90bfffffff', '8512c973fffffff', '8512c977fffffff', '8512c93bfffffff', '8512c907fffffff']","['8512c903fffffff', '8512c90bfffffff', '8512c973fffffff', '8512c977fffffff', '8512c93bfffffff', '8512c907fffffff']"
5,5,8512c923fffffff,48.770008,-111.61323,48.770096,-111.862615,18277,8512c93bfffffff,False,"['8512c933fffffff', '8512c93bfffffff', '8512c92bfffffff', '8512c92ffffffff', '8512c927fffffff', '8512c937fffffff']","['8512c933fffffff', '8512c93bfffffff', '8512c92bfffffff', '8512c92ffffffff', '8512c927fffffff', '8512c937fffffff']"
6,6,8512c927fffffff,48.696064,-111.407512,48.463954,-111.376493,25910,8527944bfffffff,False,"['8512c937fffffff', '8512c923fffffff', '8512c92ffffffff', '8527945bfffffff', '85279453fffffff', '852794cbfffffff']","['8512c937fffffff', '8512c923fffffff', '8512c92ffffffff', '8527945bfffffff', '85279453fffffff', '852794cbfffffff']"
7,7,8512c92bfffffff,48.693617,-111.798202,48.693506,-111.861907,4676,8512c92bfffffff,True,"['8512c93bfffffff', '8512c977fffffff', '8512c967fffffff', '85279693fffffff', '8512c92ffffffff', '8512c923fffffff']","['8512c93bfffffff', '8512c977fffffff', '8512c967fffffff', '85279693fffffff', '8512c92ffffffff', '8512c923fffffff']"
8,8,8512c92ffffffff,48.620052,-111.592799,48.48178,-111.620021,15505,85279697fffffff,False,"['8512c923fffffff', '8512c92bfffffff', '85279693fffffff', '85279697fffffff', '8527945bfffffff', '8512c927fffffff']","['8512c923fffffff', '8512c92bfffffff', '85279693fffffff', '85279697fffffff', '8527945bfffffff', '8512c927fffffff']"
9,9,8512c933fffffff,48.920167,-111.633813,48.847584,-111.864985,18731,8512c93bfffffff,False,"['8512c9abfffffff', '8512c907fffffff', '8512c93bfffffff', '8512c923fffffff', '8512c937fffffff', '8512c9affffffff']","['8512c9abfffffff', '8512c907fffffff', '8512c93bfffffff', '8512c923fffffff', '8512c937fffffff', '8512c9affffffff']"
10,10,8512c937fffffff,48.846259,-111.427313,48.997829,-111.273331,20264,8512c9a7fffffff,False,"['8512c9affffffff', '8512c933fffffff', '8512c923fffffff', '8512c927fffffff', '852794cbfffffff', '852794dbfffffff']","['8512c9affffffff', '8512c933fffffff', '8512c923fffffff', '8512c927fffffff', '852794cbfffffff', '852794dbfffffff']"
11,11,8512c93bfffffff,48.843535,-111.819412,48.842108,-111.862743,3175,8512c93bfffffff,True,"['8512c907fffffff', '8512c90ffffffff', '8512c977fffffff', '8512c92bfffffff', '8512c923fffffff', '8512c933fffffff']","['8512c907fffffff', '8512c90ffffffff', '8512c977fffffff', '8512c92bfffffff', '8512c923fffffff', '8512c933fffffff']"
12,12,8512c943fffffff,48.983686,-112.624342,48.960892,-112.753612,9770,8512c94bfffffff,False,"['8512c953fffffff', '8512c95bfffffff', '8512c94bfffffff', '8512c94ffffffff', '8512c947fffffff', '8512c957fffffff']","['8512c95bfffffff', '8512c94bfffffff', '8512c94ffffffff', '8512c947fffffff', '8512c957fffffff']"
13,13,8512c947fffffff,48.911802,-112.417136,48.84121,-112.520335,10889,8512c94ffffffff,False,"['8512c957fffffff', '8512c943fffffff', '8512c94ffffffff', '8512c97bfffffff', '8512c973fffffff', '8512c90bfffffff']","['8512c957fffffff', '8512c943fffffff', '8512c94ffffffff', '8512c97bfffffff', '8512c973fffffff', '8512c90bfffffff']"
14,14,8512c94bfffffff,48.905659,-112.807029,48.905849,-112.753,3949,8512c94bfffffff,True,"['8512c95bfffffff', '8512cb97fffffff', '8512cb87fffffff', '8512cbb3fffffff', '8512c94ffffffff', '8512c943fffffff']","['8512c95bfffffff', '8512cb97fffffff', '8512cb87fffffff', '8512cbb3fffffff', '8512c94ffffffff', '8512c943fffffff']"
