,Unnamed: 0,CellID,Latitude,Longitude,RSLatitude,RSLongitude,RSDistance,RSCellID,ValidSnap,neighbors,ValidNeighbors
4404,4404,8448d57ffffffff,32.936257,-105.054197,32.886257,-105.064196,5638,8448d57ffffffff,True,"['8448d51ffffffff', '8448d55ffffffff', '8448d0bffffffff', '8448d1dffffffff', '8448d19ffffffff', '8448d53ffffffff']","['8448d51ffffffff', '8448d55ffffffff', '8448d0bffffffff', '8448d1dffffffff', '8448d19ffffffff', '8448d53ffffffff']"
4405,4405,8448d59ffffffff,32.137166,-105.474135,31.794548,-105.557628,38903,8448f33ffffffff,False,"['8448f33ffffffff', '8448f37ffffffff', '8448d5dffffffff', '8448d51ffffffff', '8448d5bffffffff', '8448c65ffffffff']","['8448f33ffffffff', '8448f37ffffffff', '8448d5dffffffff', '8448d51ffffffff', '8448d5bffffffff', '8448c65ffffffff']"
4406,4406,8448d5bffffffff,32.490731,-105.785065,32.549606,-106.020135,22992,8448d5bffffffff,True,"['8448c65ffffffff', '8448d59ffffffff', '8448d51ffffffff', '8448d53ffffffff', '8448c2dffffffff', '8448c67ffffffff']","['8448c65ffffffff', '8448d59ffffffff', '8448d51ffffffff', '8448d53ffffffff', '8448c2dffffffff', '8448c67ffffffff']"
4407,4407,8448d5dffffffff,32.182694,-104.955618,31.913897,-104.773517,34466,8448d4bffffffff,False,"['8448f37ffffffff', '8448d4bffffffff', '8448d43ffffffff', '8448d55ffffffff', '8448d51ffffffff', '8448d59ffffffff']","['8448f37ffffffff', '8448d4bffffffff', '8448d43ffffffff', '8448d55ffffffff', '8448d51ffffffff', '8448d59ffffffff']"
4408,4408,8448d61ffffffff,32.343173,-102.88258,32.379667,-102.872967,4157,8448d61ffffffff,True,"['8448d69ffffffff', '8448d6dffffffff', '8448d65ffffffff', '8448d67ffffffff', '8448d63ffffffff', '8448d6bffffffff']","['8448d69ffffffff', '8448d6dffffffff', '8448d65ffffffff', '8448d67ffffffff', '8448d63ffffffff', '8448d6bffffffff']"
4409,4409,8448d63ffffffff,32.701872,-103.184585,32.699681,-103.179145,564,8448d63ffffffff,True,"['8448d6bffffffff', '8448d61ffffffff', '8448d67ffffffff', '8448d29ffffffff', '8448d05ffffffff', '8448d0dffffffff']","['8448d6bffffffff', '8448d61ffffffff', '8448d67ffffffff', '8448d29ffffffff', '8448d05ffffffff', '8448d0dffffffff']"
4410,4410,8448d65ffffffff,32.377875,-102.365002,32.404879,-102.389874,3804,8448d65ffffffff,True,"['8448d6dffffffff', '84488b3ffffffff', '8426da7ffffffff', '8426da5ffffffff', '8448d67ffffffff', '8448d61ffffffff']","['8448d6dffffffff', '84488b3ffffffff', '8426da7ffffffff', '8426da5ffffffff', '8448d67ffffffff', '8448d61ffffffff']"
4411,4411,8448d67ffffffff,32.737521,-102.665077,32.734013,-102.6686,511,8448d67ffffffff,True,"['8448d61ffffffff', '8448d65ffffffff', '8426da5ffffffff', '8448d2dffffffff', '8448d29ffffffff', '8448d63ffffffff']","['8448d61ffffffff', '8448d65ffffffff', '8426da5ffffffff', '8448d2dffffffff', '8448d29ffffffff', '8448d63ffffffff']"
4412,4412,8448d69ffffffff,31.947495,-103.098716,31.943941,-103.112258,1337,8448d69ffffffff,True,"['8448893ffffffff', '8448897ffffffff', '8448d6dffffffff', '8448d61ffffffff', '8448d6bffffffff', '8448d45ffffffff']","['8448893ffffffff', '8448897ffffffff', '8448d6dffffffff', '8448d61ffffffff', '8448d6bffffffff', '8448d45ffffffff']"
4413,4413,8448d6bffffffff,32.306304,-103.400515,32.209907,-103.444832,11500,8448d6bffffffff,True,"['8448d45ffffffff', '8448d69ffffffff', '8448d61ffffffff', '8448d63ffffffff', '8448d0dffffffff', '8448d47ffffffff']","['8448d45ffffffff', '8448d69ffffffff', '8448d61ffffffff', '8448d63ffffffff', '8448d0dffffffff', '8448d47ffffffff']"
4414,4414,8448d6dffffffff,31.98342,-102.582679,31.988057,-102.584181,535,8448d6dffffffff,True,"['8448897ffffffff', '84488bbffffffff', '84488b3ffffffff', '8448d65ffffffff', '8448d61ffffffff', '8448d69ffffffff']","['8448897ffffffff', '84488bbffffffff', '84488b3ffffffff', '8448d65ffffffff', '8448d61ffffffff', '8448d69ffffffff']"
4415,4415,8448d81ffffffff,35.480263,-106.211183,35.514727,-106.226035,4061,8448d81ffffffff,True,"['8448d89ffffffff', '8448d8dffffffff', '8448d85ffffffff', '8448d87ffffffff', '8448d83ffffffff', '8448d8bffffffff']","['8448d89ffffffff', '8448d8dffffffff', '8448d85ffffffff', '8448d87ffffffff', '8448d83ffffffff', '8448d8bffffffff']"
4416,4416,8448d83ffffffff,35.825802,-106.534027,35.815898,-106.535476,1109,8448d83ffffffff,True,"['8448d8bffffffff', '8448d81ffffffff', '8448d87ffffffff', '8448db9ffffffff', '8448d95ffffffff', '8448d9dffffffff']","['8448d8bffffffff', '8448d81ffffffff', '8448d87ffffffff', '8448db9ffffffff', '8448d95ffffffff', '8448d9dffffffff']"
4417,4417,8448d85ffffffff,35.526937,-105.676936,35.526226,-105.682151,479,8448d85ffffffff,True,"['8448d8dffffffff', '8448de3ffffffff', '8448da9ffffffff', '8448dabffffffff', '8448d87ffffffff', '8448d81ffffffff']","['8448d8dffffffff', '8448de3ffffffff', '8448da9ffffffff', '8448dabffffffff', '8448d87ffffffff', '8448d81ffffffff']"
4418,4418,8448d87ffffffff,35.873706,-105.998068,35.871082,-106.004868,679,8448d87ffffffff,True,"['8448d81ffffffff', '8448d85ffffffff', '8448dabffffffff', '8448dbdffffffff', '8448db9ffffffff', '8448d83ffffffff']","['8448d81ffffffff', '8448d85ffffffff', '8448dabffffffff', '8448dbdffffffff', '8448db9ffffffff', '8448d83ffffffff']"
4419,4419,8448d89ffffffff,35.085317,-106.422824,35.076435,-106.4119,1401,8448d89ffffffff,True,"['8448dc3ffffffff', '8448dc7ffffffff', '8448d8dffffffff', '8448d81ffffffff', '8448d8bffffffff', '8448dd5ffffffff']","['8448dc3ffffffff', '8448dc7ffffffff', '8448d8dffffffff', '8448d81ffffffff', '8448d8bffffffff', '8448dd5ffffffff']"
4420,4420,8448d8bffffffff,35.431195,-106.745232,35.467281,-106.687112,6619,8448d8bffffffff,True,"['8448dd5ffffffff', '8448d89ffffffff', '8448d81ffffffff', '8448d83ffffffff', '8448d9dffffffff', '8448dd7ffffffff']","['8448dd5ffffffff', '8448d89ffffffff', '8448d81ffffffff', '8448d83ffffffff', '8448d9dffffffff', '8448dd7ffffffff']"
4421,4421,8448d8dffffffff,35.13316,-105.890453,35.156894,-105.973758,8021,8448d8dffffffff,True,"['8448dc7ffffffff', '8448debffffffff', '8448de3ffffffff', '8448d85ffffffff', '8448d81ffffffff', '8448d89ffffffff']","['8448dc7ffffffff', '8448debffffffff', '8448de3ffffffff', '8448d85ffffffff', '8448d81ffffffff', '8448d89ffffffff']"
